"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|FR","5492.53","5159.24","6208.79","3919.00"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|FR","4983.70","4892.03","5498.96","3857.00"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|FR","3551.86","3614.73","3837.74","3268.00"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|FR","1544.04","1536.50","1551.87","2089.00"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|FR","129.83","127.83","107.46","820.00"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","272.00"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
